admin_level,id,name,Number of open links,Bigraph built in,Bigraph loaded in,Number of nodes,Number of edges,Number of boundaries,Number of streets,Number of buildings,Number of junctions,Added agent in,leave_building,move_across_linked_streets,enter_building starting in street,enter_building_from_street,leave_street,enter_building_from_boundary,enter_building starting in boundary,enter_street,Maximum resident set size (kbytes),Number of outer names
10,2604777,Dover,,,0.009448,2184,1069,1,391,158,1084,0.056873,0.047691,,,,,,,,44204,25
8,295349,Fenland,,,0.057755,13480,6530,17,2283,1688,5504,1.663181,1.678127,,,,,,,,86904,64
8,295352,East Cambridgeshire,,,0.090052,19619,9566,36,2383,4556,5669,2.610784,2.426982,,,,,,,,109148,85
8,295351,Huntingdonshire,,,0.178882,37597,18234,82,4899,7931,11773,9.630051,9.530534,,,,,,,,182772,102
8,295355,Cambridge,,,0.302087,62838,31355,1,1612,27868,3876,5.272505,5.086878,,,,,,,,261708,73
8,295353,South Cambridgeshire,,,0.356870,75961,37326,105,4663,27711,11003,20.078449,21.728774,,,,,,,,340392,178
6,180837,Cambridgeshire,,,0.978277,210768,103274,242,16190,69754,38396,299.987981,338.061127,,,,,,,,908224,225
8,172987,Liverpool,,,0.298154,50577,24816,1,6879,7769,21279,12.967918,11.740155,,,,,,,,235296,122
6,1906767,Glasgow City,,,0.338043,70524,34790,1,7427,15678,24312,20.270215,18.729388,,,,,,,,315388,194
8,146656,Manchester,,,0.456100,96802,48052,2,7140,30599,21320,26.051228,24.955763,,,,,,,,366044,235
8,2305279,Carlsbad,,,0.311971,60972,30425,1,2407,24657,6842,6.645532,6.831978,,,,,,,,288632,63
8,2305280,Oceanside,,,0.372087,78005,38904,1,2709,32250,8085,9.682516,9.966729,,,,,,,,338892,86
8,111848,Chula Vista,,,0.377876,77630,38686,1,3186,30541,10174,11.026849,11.984103,,,,,,,,335828,129
10,2604777,Dover,,,0.023189,2184,1069,1,391,158,1084,0.061298,0.051806,,,,,,,,43896,25
8,295349,Fenland,,,0.082285,13480,6530,17,2283,1688,5504,1.667198,1.563170,,,,,,,,85936,64
8,295352,East Cambridgeshire,,,0.078487,19619,9566,36,2383,4556,5669,2.560993,2.417480,,,,,,,,108920,85
8,295351,Huntingdonshire,,,0.153808,37597,18234,82,4899,7931,11773,9.521085,9.441031,,,,,,,,179468,102
8,295355,Cambridge,,,0.276606,62838,31355,1,1612,27868,3876,5.181249,5.007047,,,,,,,,261284,73
8,295353,South Cambridgeshire,,,0.310096,75961,37326,105,4663,27711,11003,20.211508,21.045878,,,,,,,,338428,178
6,180837,Cambridgeshire,,,0.978208,210768,103274,242,16190,69754,38396,320.728937,378.606926,,,,,,,,908924,225
8,172987,Liverpool,,,0.398448,50577,24816,1,6879,7769,21279,13.176013,12.346099,,,,,,,,234148,122
6,1906767,Glasgow City,,,0.296527,70524,34790,1,7427,15678,24312,23.079454,22.102835,,,,,,,,314808,194
8,146656,Manchester,,,0.450239,96802,48052,2,7140,30599,21320,29.034848,25.470491,,,,,,,,371840,235
8,2305279,Carlsbad,,,0.259948,60972,30425,1,2407,24657,6842,6.921437,6.871843,,,,,,,,288392,63
8,2305280,Oceanside,,,0.327489,78005,38904,1,2709,32250,8085,9.719798,11.037210,,,,,,,,339020,86
8,111848,Chula Vista,,,0.310623,77630,38686,1,3186,30541,10174,12.277858,13.334502,,,,,,,,336240,129
10,2604777,Dover,,,0.013614,2184,1069,1,391,158,1084,0.052958,0.045397,,,,,,,,42288,25
8,295349,Fenland,,,0.072450,13480,6530,17,2283,1688,5504,1.620890,1.524235,,,,,,,,86500,64
8,295352,East Cambridgeshire,,,0.098632,19619,9566,36,2383,4556,5669,2.472022,2.331144,,,,,,,,110392,85
8,295351,Huntingdonshire,,,0.200156,37597,18234,82,4899,7931,11773,9.269845,9.193378,,,,,,,,183720,102
8,295355,Cambridge,,,0.324964,62838,31355,1,1612,27868,3876,5.004685,4.859933,,,,,,,,259940,73
8,295353,South Cambridgeshire,,,0.379564,75961,37326,105,4663,27711,11003,21.069534,20.635954,,,,,,,,340536,178
6,180837,Cambridgeshire,,,1.135868,210768,103274,242,16190,69754,38396,277.256674,280.888371,,,,,,,,911884,225
8,172987,Liverpool,,,0.294096,50577,24816,1,6879,7769,21279,12.220640,11.150854,,,,,,,,234312,122
6,1906767,Glasgow City,,,0.338500,70524,34790,1,7427,15678,24312,19.406558,17.927562,,,,,,,,316056,194
8,146656,Manchester,,,0.481719,96802,48052,2,7140,30599,21320,24.901005,25.232638,,,,,,,,368932,235
8,2305279,Carlsbad,,,0.314122,60972,30425,1,2407,24657,6842,6.351833,6.460015,,,,,,,,291444,63
8,2305280,Oceanside,,,0.411620,78005,38904,1,2709,32250,8085,9.396774,10.033742,,,,,,,,339392,86
8,111848,Chula Vista,,,0.365035,77630,38686,1,3186,30541,10174,10.116826,10.523275,,,,,,,,336884,129
10,2604777,Dover,,,0.014485,2184,1069,1,391,158,1084,0.051077,0.046398,,,,,,,,42356,25
8,295349,Fenland,,,0.083636,13480,6530,17,2283,1688,5504,1.650893,1.574613,,,,,,,,87288,64
8,295352,East Cambridgeshire,,,0.130880,19619,9566,36,2383,4556,5669,2.601605,2.592071,,,,,,,,110132,85
8,295351,Huntingdonshire,,,0.241073,37597,18234,82,4899,7931,11773,10.089128,9.542801,,,,,,,,183868,102
8,295355,Cambridge,,,0.344253,62838,31355,1,1612,27868,3876,5.943282,5.619313,,,,,,,,262856,73
8,295353,South Cambridgeshire,,,0.424232,75961,37326,105,4663,27711,11003,25.149156,29.262644,,,,,,,,339904,178
6,180837,Cambridgeshire,,,1.504688,210768,103274,242,16190,69754,38396,362.832873,410.627158,,,,,,,,903420,225
